mode,threads,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
rain,8,800,600,200,220.000,150,0.016180,0.009,0.610,0.619,61.80
rain,8,800,600,200,220.000,151,0.000628,0.009,10.756,10.765,1592.36
rain,8,800,600,200,220.000,152,0.010780,0.021,5.638,5.659,92.76
rain,8,800,600,200,220.000,153,0.005669,0.009,14.998,15.008,176.40
rain,8,800,600,200,220.000,154,0.015018,0.009,1.706,1.714,66.59
rain,8,800,600,200,220.000,155,0.001724,0.008,16.726,16.734,580.05
rain,8,800,600,200,220.000,156,0.016746,0.009,0.841,0.850,59.72
rain,8,800,600,200,220.000,157,0.000857,0.007,12.512,12.519,1166.86
rain,8,800,600,200,220.000,158,0.012526,0.009,3.309,3.318,79.83
rain,8,800,600,200,220.000,159,0.003327,0.009,17.126,17.135,300.57
rain,8,800,600,200,220.000,160,0.017145,0.008,1.104,1.113,58.33
rain,8,800,600,200,220.000,161,0.001122,0.008,15.262,15.270,891.27
rain,8,800,600,200,220.000,162,0.015280,0.009,1.496,1.505,65.45
rain,8,800,600,200,220.000,163,0.001515,0.009,13.445,13.454,660.07
rain,8,800,600,200,220.000,164,0.013463,0.009,1.555,1.564,74.28
rain,8,800,600,200,220.000,165,0.001573,0.009,15.709,15.718,635.73
rain,8,800,600,200,220.000,166,0.015728,0.009,1.037,1.047,63.58
rain,8,800,600,200,220.000,167,0.001055,0.009,15.141,15.150,947.87
rain,8,800,600,200,220.000,168,0.015160,0.010,1.374,1.384,65.96
rain,8,800,600,200,220.000,169,0.001393,0.010,16.961,16.970,717.88
rain,8,800,600,200,220.000,170,0.016992,0.010,1.239,1.249,58.85
rain,8,800,600,200,220.000,171,0.001258,0.009,15.682,15.691,794.91
rain,8,800,600,200,220.000,172,0.015700,0.010,1.025,1.034,63.69
rain,8,800,600,200,220.000,173,0.001044,0.009,14.675,14.684,957.85
rain,8,800,600,200,220.000,174,0.014693,0.009,0.798,0.806,68.06
rain,8,800,600,200,220.000,175,0.000818,0.008,9.203,9.211,1222.49
rain,8,800,600,200,220.000,176,0.009220,0.008,7.309,7.318,108.46
rain,8,800,600,200,220.000,177,0.007326,0.010,17.018,17.027,136.50
rain,8,800,600,200,220.000,178,0.017037,0.008,1.060,1.068,58.70
rain,8,800,600,200,220.000,179,0.001081,0.007,15.221,15.228,925.07
rain,8,800,600,200,220.000,180,0.015237,0.009,1.082,1.092,65.63
rain,8,800,600,200,220.000,181,0.001101,0.010,13.286,13.296,908.27
rain,8,800,600,200,220.000,182,0.013306,0.009,2.177,2.186,75.15
rain,8,800,600,200,220.000,183,0.002195,0.009,16.950,16.959,455.58
rain,8,800,600,200,220.000,184,0.016968,0.008,1.080,1.088,58.93
rain,8,800,600,200,220.000,185,0.001098,0.009,15.215,15.224,910.75
rain,8,800,600,200,220.000,186,0.015234,0.009,1.372,1.381,65.64
rain,8,800,600,200,220.000,187,0.001390,0.009,13.237,13.246,719.42
rain,8,800,600,200,220.000,188,0.013256,0.009,2.132,2.140,75.44
rain,8,800,600,200,220.000,189,0.002149,0.009,16.830,16.839,465.33
rain,8,800,600,200,220.000,190,0.016848,0.009,1.518,1.527,59.35
rain,8,800,600,200,220.000,191,0.001536,0.009,12.758,12.767,651.04
rain,8,800,600,200,220.000,192,0.012776,0.009,2.229,2.238,78.27
rain,8,800,600,200,220.000,193,0.002247,0.010,14.766,14.776,445.04
rain,8,800,600,200,220.000,194,0.014786,0.009,1.926,1.935,67.63
rain,8,800,600,200,220.000,195,0.001943,0.009,14.595,14.603,514.67
rain,8,800,600,200,220.000,196,0.014613,0.009,2.017,2.026,68.43
rain,8,800,600,200,220.000,197,0.002036,0.009,16.044,16.053,491.16
rain,8,800,600,200,220.000,198,0.016062,0.009,0.781,0.789,62.26
rain,8,800,600,200,220.000,199,0.000799,0.008,16.084,16.092,1251.56
rain,8,800,600,200,220.000,200,0.016103,0.010,0.660,0.670,62.10
rain,8,800,600,200,220.000,201,0.000680,0.009,8.522,8.531,1470.59
rain,8,800,600,200,220.000,202,0.008541,0.011,7.956,7.967,117.08
rain,8,800,600,200,220.000,203,0.007981,0.011,14.601,14.612,125.30
rain,8,800,600,200,220.000,204,0.014626,0.009,1.986,1.995,68.37
rain,8,800,600,200,220.000,205,0.002004,0.008,14.405,14.413,499.00
rain,8,800,600,200,220.000,206,0.014423,0.010,2.377,2.386,69.33
rain,8,800,600,200,220.000,207,0.002396,0.009,16.503,16.512,417.36
rain,8,800,600,200,220.000,208,0.016521,0.008,1.203,1.211,60.53
rain,8,800,600,200,220.000,209,0.001221,0.009,15.497,15.506,819.00
rain,8,800,600,200,220.000,210,0.015520,0.010,1.495,1.504,64.43
rain,8,800,600,200,220.000,211,0.001513,0.008,14.647,14.655,660.94
rain,8,800,600,200,220.000,212,0.014665,0.009,0.690,0.699,68.19
rain,8,800,600,200,220.000,213,0.000708,0.008,8.317,8.326,1412.43
rain,8,800,600,200,220.000,214,0.008335,0.010,8.158,8.168,119.98
rain,8,800,600,200,220.000,215,0.008177,0.008,16.705,16.713,122.29
rain,8,800,600,200,220.000,216,0.016722,0.010,1.282,1.293,59.80
rain,8,800,600,200,220.000,217,0.001302,0.009,12.612,12.621,768.05
rain,8,800,600,200,220.000,218,0.012630,0.008,2.707,2.715,79.18
rain,8,800,600,200,220.000,219,0.002724,0.010,15.508,15.518,367.11
rain,8,800,600,200,220.000,220,0.015528,0.009,1.170,1.179,64.40
rain,8,800,600,200,220.000,221,0.001188,0.009,14.099,14.108,841.75
rain,8,800,600,200,220.000,222,0.014118,0.008,2.499,2.507,70.83
rain,8,800,600,200,220.000,223,0.002516,0.009,16.578,16.587,397.46
rain,8,800,600,200,220.000,224,0.016596,0.009,1.759,1.769,60.26
rain,8,800,600,200,220.000,225,0.001778,0.011,12.296,12.307,562.43
rain,8,800,600,200,220.000,226,0.012317,0.008,2.817,2.826,81.19
rain,8,800,600,200,220.000,227,0.002835,0.008,14.718,14.726,352.73
rain,8,800,600,200,220.000,228,0.014735,0.008,1.976,1.985,67.87
rain,8,800,600,200,220.000,229,0.001994,0.008,15.132,15.140,501.50
rain,8,800,600,200,220.000,230,0.015150,0.008,1.416,1.425,66.01
rain,8,800,600,200,220.000,231,0.001434,0.008,15.179,15.187,697.35
rain,8,800,600,200,220.000,232,0.015199,0.009,1.400,1.408,65.79
rain,8,800,600,200,220.000,233,0.001416,0.013,14.036,14.049,706.21
rain,8,800,600,200,220.000,234,0.014058,0.010,2.798,2.808,71.13
rain,8,800,600,200,220.000,235,0.002817,0.009,14.462,14.471,354.99
rain,8,800,600,200,220.000,236,0.014481,0.011,2.204,2.215,69.06
rain,8,800,600,200,220.000,237,0.002224,0.009,14.445,14.454,449.64
rain,8,800,600,200,220.000,238,0.014463,0.009,2.272,2.281,69.14
rain,8,800,600,200,220.000,239,0.002290,0.009,13.384,13.393,436.68
rain,8,800,600,200,220.000,240,0.013403,0.009,3.295,3.304,74.61
rain,8,800,600,200,220.000,241,0.003314,0.008,14.394,14.402,301.75
rain,8,800,600,200,220.000,242,0.014412,0.009,2.196,2.205,69.39
rain,8,800,600,200,220.000,243,0.002214,0.008,14.693,14.702,451.67
rain,8,800,600,200,220.000,244,0.014712,0.008,2.023,2.031,67.97
rain,8,800,600,200,220.000,245,0.002040,0.008,15.658,15.666,490.20
rain,8,800,600,200,220.000,246,0.015675,0.009,1.113,1.122,63.80
rain,8,800,600,200,220.000,247,0.001132,0.009,14.868,14.876,883.39
rain,8,800,600,200,220.000,248,0.014886,0.010,1.593,1.603,67.18
rain,8,800,600,200,220.000,249,0.001613,0.009,12.945,12.954,619.96
rain,8,800,600,200,220.000,250,0.012963,0.008,3.834,3.842,77.14
rain,8,800,600,200,220.000,251,0.003873,0.008,15.688,15.696,258.20
rain,8,800,600,200,220.000,252,0.015706,0.009,1.056,1.065,63.67
rain,8,800,600,200,220.000,253,0.001074,0.009,14.179,14.188,931.10
rain,8,800,600,200,220.000,254,0.014197,0.009,2.367,2.376,70.44
rain,8,800,600,200,220.000,255,0.002386,0.009,13.497,13.506,419.11
rain,8,800,600,200,220.000,256,0.013515,0.008,3.159,3.168,73.99
