mode,threads,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
rain,0,800,600,200,220.000,197,0.010990,0.657,5.036,5.693,90.99
rain,0,800,600,200,220.000,198,0.005705,0.050,10.908,10.958,175.28
rain,0,800,600,200,220.000,199,0.010969,0.016,7.209,7.224,91.17
rain,0,800,600,200,220.000,200,0.007239,3.498,7.412,10.910,138.14
rain,0,800,600,200,220.000,201,0.010925,0.015,4.680,4.695,91.53
rain,0,800,600,200,220.000,202,0.004709,0.016,11.655,11.671,212.36
rain,0,800,600,200,220.000,203,0.011688,0.017,4.583,4.600,85.56
rain,0,800,600,200,220.000,204,0.004616,0.023,11.795,11.818,216.64
rain,0,800,600,200,220.000,205,0.011833,0.015,4.845,4.860,84.51
rain,0,800,600,200,220.000,206,0.004873,0.016,10.905,10.921,205.21
rain,0,800,600,200,220.000,207,0.010934,0.017,5.737,5.754,91.46
rain,0,800,600,200,220.000,208,0.005767,0.016,10.873,10.889,173.40
rain,0,800,600,200,220.000,209,0.010901,0.016,5.773,5.789,91.73
rain,0,800,600,200,220.000,210,0.005802,0.016,10.752,10.768,172.35
rain,0,800,600,200,220.000,211,0.010781,0.022,5.832,5.855,92.76
rain,0,800,600,200,220.000,212,0.005867,0.016,11.015,11.031,170.44
rain,0,800,600,200,220.000,213,0.011093,0.484,5.135,5.619,90.15
rain,0,800,600,200,220.000,214,0.005631,0.018,11.168,11.186,177.59
rain,0,800,600,200,220.000,215,0.011218,0.306,5.199,5.505,89.14
rain,0,800,600,200,220.000,216,0.005517,0.016,11.152,11.167,181.26
rain,0,800,600,200,220.000,217,0.011181,0.016,5.504,5.520,89.44
rain,0,800,600,200,220.000,218,0.005532,0.016,12.736,12.752,180.77
rain,0,800,600,200,220.000,219,0.012766,0.018,4.508,4.526,78.33
rain,0,800,600,200,220.000,220,0.004539,0.020,16.831,16.851,220.31
rain,0,800,600,200,220.000,221,0.016864,0.386,0.431,0.817,59.30
rain,0,800,600,200,220.000,222,0.000827,0.020,15.516,15.536,1209.19
rain,0,800,600,200,220.000,223,0.015548,0.158,0.526,0.684,64.32
rain,0,800,600,200,220.000,224,0.000694,0.015,9.311,9.326,1440.92
rain,0,800,600,200,220.000,225,0.009338,0.015,6.709,6.724,107.09
rain,0,800,600,200,220.000,226,0.006738,0.016,10.165,10.181,148.41
rain,0,800,600,200,220.000,227,0.010193,0.314,5.638,5.952,98.11
rain,0,800,600,200,220.000,228,0.005964,0.016,10.682,10.698,167.67
rain,0,800,600,200,220.000,229,0.010710,0.306,6.190,6.496,93.37
rain,0,800,600,200,220.000,230,0.006510,0.016,14.411,14.427,153.61
rain,0,800,600,200,220.000,231,0.014446,2.048,0.424,2.472,69.22
rain,0,800,600,200,220.000,232,0.002491,0.027,10.077,10.103,401.45
rain,0,800,600,200,220.000,233,0.010116,0.015,6.374,6.389,98.85
rain,0,800,600,200,220.000,234,0.006401,0.016,10.198,10.214,156.23
rain,0,800,600,200,220.000,235,0.010279,0.023,5.804,5.827,97.29
rain,0,800,600,200,220.000,236,0.005847,0.016,10.744,10.759,171.03
rain,0,800,600,200,220.000,237,0.010774,0.030,6.414,6.444,92.82
rain,0,800,600,200,220.000,238,0.006456,0.015,10.259,10.274,154.89
rain,0,800,600,200,220.000,239,0.010288,0.016,5.852,5.868,97.20
rain,0,800,600,200,220.000,240,0.005904,0.016,17.279,17.295,169.38
rain,0,800,600,200,220.000,241,0.017309,0.392,0.516,0.908,57.77
rain,0,800,600,200,220.000,242,0.000921,0.016,8.764,8.780,1085.78
rain,0,800,600,200,220.000,243,0.008792,0.016,6.708,6.723,113.74
rain,0,800,600,200,220.000,244,0.006736,0.021,16.161,16.182,148.46
rain,0,800,600,200,220.000,245,0.016193,0.133,0.520,0.653,61.76
rain,0,800,600,200,220.000,246,0.000667,0.016,9.817,9.832,1499.25
rain,0,800,600,200,220.000,247,0.009844,0.308,6.465,6.773,101.58
rain,0,800,600,200,220.000,248,0.006785,0.016,10.170,10.185,147.38
rain,0,800,600,200,220.000,249,0.010207,0.026,6.572,6.597,97.97
rain,0,800,600,200,220.000,250,0.006610,0.019,9.978,9.997,151.29
rain,0,800,600,200,220.000,251,0.010016,0.026,6.191,6.217,99.84
rain,0,800,600,200,220.000,252,0.006259,0.015,10.027,10.042,159.77
rain,0,800,600,200,220.000,253,0.010055,0.016,7.014,7.030,99.45
rain,0,800,600,200,220.000,254,0.007044,0.016,17.244,17.260,141.96
rain,0,800,600,200,220.000,255,0.017275,0.139,0.853,0.991,57.89
rain,0,800,600,200,220.000,256,0.001008,0.021,14.572,14.593,992.06
rain,0,800,600,200,220.000,257,0.014603,0.277,0.755,1.032,68.48
rain,0,800,600,200,220.000,258,0.001043,0.016,8.979,8.994,958.77
rain,0,800,600,200,220.000,259,0.009007,0.015,7.117,7.132,111.02
rain,0,800,600,200,220.000,260,0.007144,0.016,11.007,11.023,139.98
rain,0,800,600,200,220.000,261,0.011040,0.080,6.674,6.755,90.58
rain,0,800,600,200,220.000,262,0.006770,19.650,4.087,23.737,147.71
rain,0,800,600,200,220.000,263,0.023759,34.697,0.705,35.401,42.09
rain,0,800,600,200,220.000,264,0.035430,27.799,0.629,28.428,28.22
rain,0,800,600,200,220.000,265,0.028460,0.022,3.591,3.613,35.14
rain,0,800,600,200,220.000,266,0.003628,0.019,7.005,7.024,275.63
rain,0,800,600,200,220.000,267,0.007041,0.021,0.599,0.620,142.03
rain,0,800,600,200,220.000,268,0.000633,0.015,15.901,15.916,1579.78
rain,0,800,600,200,220.000,269,0.015940,42.754,3.278,46.031,62.74
rain,0,800,600,200,220.000,270,0.046048,37.713,0.401,38.114,21.72
rain,0,800,600,200,220.000,271,0.038142,47.564,0.471,48.035,26.22
rain,0,800,600,200,220.000,272,0.048050,14.501,0.541,15.042,20.81
rain,0,800,600,200,220.000,273,0.015067,0.017,1.147,1.163,66.37
rain,0,800,600,200,220.000,274,0.001179,0.225,1.954,2.179,848.18
rain,0,800,600,200,220.000,275,0.002193,17.933,5.038,22.971,456.00
rain,0,800,600,200,220.000,276,0.022987,0.018,1.002,1.021,43.50
rain,0,800,600,200,220.000,277,0.001035,40.719,3.410,44.129,966.18
rain,0,800,600,200,220.000,278,0.044149,33.906,0.456,34.362,22.65
rain,0,800,600,200,220.000,279,0.034400,31.504,0.503,32.007,29.07
rain,0,800,600,200,220.000,280,0.032039,33.476,0.580,34.056,31.21
rain,0,800,600,200,220.000,281,0.034078,18.629,0.549,19.178,29.34
rain,0,800,600,200,220.000,282,0.019197,0.216,0.602,0.818,52.09
rain,0,800,600,200,220.000,283,0.000831,0.024,10.580,10.604,1203.37
rain,0,800,600,200,220.000,284,0.010622,0.023,1.186,1.210,94.14
rain,0,800,600,200,220.000,285,0.001224,0.025,8.710,8.735,816.99
rain,0,800,600,200,220.000,286,0.008748,0.489,7.926,8.415,114.31
rain,0,800,600,200,220.000,287,0.008429,0.017,9.073,9.090,118.64
rain,0,800,600,200,220.000,288,0.009103,0.111,7.495,7.606,109.85
rain,0,800,600,200,220.000,289,0.007621,0.016,9.297,9.313,131.22
rain,0,800,600,200,220.000,290,0.009335,0.014,6.779,6.793,107.12
rain,0,800,600,200,220.000,291,0.006806,0.016,14.033,14.048,146.93
rain,0,800,600,200,220.000,292,0.014067,1.508,1.102,2.610,71.09
rain,0,800,600,200,220.000,293,0.002623,0.018,8.770,8.789,381.24
rain,0,800,600,200,220.000,294,0.008801,0.017,7.827,7.844,113.62
rain,0,800,600,200,220.000,295,0.007857,0.016,9.269,9.285,127.28
rain,0,800,600,200,220.000,296,0.009298,0.030,7.370,7.399,107.55
rain,0,800,600,200,220.000,297,0.007412,0.016,8.752,8.768,134.92
rain,0,800,600,200,220.000,298,0.008781,0.016,7.904,7.920,113.88
rain,0,800,600,200,220.000,299,0.007932,0.017,8.583,8.600,126.07
