exec,mode,threads_req,threads_eff,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
omp,rain,0,16,1280,720,300,160.000,260,0.006264,0.160,5.413,5.573,159.64
omp,rain,0,16,1280,720,300,160.000,261,0.005616,0.061,4.547,4.608,178.06
omp,rain,0,16,1280,720,300,160.000,262,0.004661,0.057,5.323,5.380,214.55
omp,rain,0,16,1280,720,300,160.000,263,0.005460,0.092,5.555,5.646,183.15
omp,rain,0,16,1280,720,300,160.000,264,0.005720,0.078,4.050,4.128,174.83
omp,rain,0,16,1280,720,300,160.000,265,0.004181,0.057,4.117,4.174,239.18
omp,rain,0,16,1280,720,300,160.000,266,0.004229,0.067,5.673,5.739,236.46
omp,rain,0,16,1280,720,300,160.000,267,0.005798,0.106,4.928,5.034,172.47
omp,rain,0,16,1280,720,300,160.000,268,0.005096,0.107,4.139,4.246,196.23
omp,rain,0,16,1280,720,300,160.000,269,0.004318,0.079,5.870,5.949,231.59
omp,rain,0,16,1280,720,300,160.000,270,0.006005,0.102,4.823,4.925,166.53
omp,rain,0,16,1280,720,300,160.000,271,0.004974,0.058,3.989,4.047,201.05
omp,rain,0,16,1280,720,300,160.000,272,0.004093,0.072,6.222,6.294,244.32
omp,rain,0,16,1280,720,300,160.000,273,0.006391,0.184,5.334,5.518,156.47
omp,rain,0,16,1280,720,300,160.000,274,0.005576,0.085,4.416,4.501,179.34
omp,rain,0,16,1280,720,300,160.000,275,0.004565,0.118,5.035,5.152,219.06
omp,rain,0,16,1280,720,300,160.000,276,0.005228,0.123,5.339,5.462,191.28
omp,rain,0,16,1280,720,300,160.000,277,0.005522,0.085,4.197,4.282,181.09
omp,rain,0,16,1280,720,300,160.000,278,0.004344,0.090,4.024,4.114,230.20
omp,rain,0,16,1280,720,300,160.000,279,0.004159,0.048,5.338,5.385,240.44
omp,rain,0,16,1280,720,300,160.000,280,0.005465,0.144,5.145,5.289,182.98
omp,rain,0,16,1280,720,300,160.000,281,0.005346,0.060,5.529,5.589,187.06
omp,rain,0,16,1280,720,300,160.000,282,0.005644,0.079,5.263,5.342,177.18
omp,rain,0,16,1280,720,300,160.000,283,0.005404,0.101,4.699,4.800,185.05
omp,rain,0,16,1280,720,300,160.000,284,0.004845,0.076,4.574,4.650,206.40
omp,rain,0,16,1280,720,300,160.000,285,0.004705,0.083,5.800,5.883,212.54
